university
"Rani Durgavati Vishwavidyalaya, Jabalpur "
"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur "
"Rashtriya Sanskrit Sansthan, New Delhi "
"Rayalaseema, University Kurnool "
"R K University, Rajkot "
"Sambalpur University, Sambalpur "
"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad "
"Sampurnanand Sanskrit Vishwavidyalaya, Varanasi "
"Sant Gadge Baba Amravati University, Amravati "
"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha "
"Sardar Patel University, Vallabh Vidyanagar "
"Sarguja University, Ambikapur "
"Satavahana University, Karimnagar "
"Saurashtra University, Rajkot "
"Saveetha University, Chennai "
"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur "
Shiksha 'O' Anusandhan 
"Shivaji University, Kolhapur "
"Shree Sankaracharya Univeristy of Sanskrit, Kalady "
"Shree Somnath Sanskrit University, Junagarh "
"Shri Jagannath Sanskrit Vishwavidyalaya, Puri "
"Shri Mata Vaishno Devi University, Jammu "
Sidho-Kanho Birsa University 
"Sido Kanhu Murmu University, Dumka "
"Sikkim Manipal University, Gangtok "
"Sikkim University, Gangtok "
"Smt. Nathibai Damodar Thackersey Women's Univeristy, Mumbai "
"Solapur University, Solapur "
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram "
"Sri Balajai Vidyapeeth Mahatma Gandhi Medical College, Puducherry "
"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar "
"Sri Krishnadevaraya University, Anantapur "
"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI "
"Sri Ramachandra Medical College and Research Institute, Chennai "
"Sri Satya Sai Institute of Higher Learning, Anantpur "
Sri Siddharatha Acedemy of Higher Education 
"Sri Venkateswara Institute of Medical Sciences, Tirupathi "
"Sri Venkateswara University, Tirupathy "
"Sri Venkateswara Veterinary University, Tirupathi "
"Sumandeep Vidyappeth, Vadodara "
"Suresh Gyan Vihar Univeristy, Jaipur "
"Swami Ramanand Teerth Marathwada University, Nanded "
"SYMBIOSIS International University, Pune "
"Tamilnadu Agricultural University, Coimbatore "
"Tamil Nadu Dr. Ambedkar Law University, Chennai "
"Tamil Nadu Dr. M.G.R. Medical University , Chennai "
TAMIL NADU FISHERIES UNIVERSITY 
"Tamilnadu Physical Education and Sports University, Chennai "
"Tamil Nadu Teacher Education University, Chennai "
"Tamilnadu Veterinary & Animal Sciences University, Chennai "
"Tata Institute of Fundamental Research, Mumbai "
"Teerthanker Mahaveer University, Moradabad "
"Telangana University, Nizamabad "
"The English and Foreign Languages University, Hyderabad "
"The Institute of Chartered Financial Analysts of India University, Agartala "
"The West Bengal University of Health Sciences, Kolkata "
"Thiruvalluvar Univeristy, Vellore "
"T.M. Bhagalpur University, Bhagalpur "
"Tripura University, Agartala "
"Tumkur University, Tumkur "
UKA TARSADIA UNIVERSITY 
"UNIVERSITY OF AGRICULTURAL AND HORTICULTURAL SCIENCES, SHIMOGA "
"University of Agricultural Sciences, Bangalore "
"University of Agricultural Sciences, Dharwad "
"University of Agricultural Sciences, Raichur "
"University of Allahabad, Allahabad "
University of Delhi 
"University of Gour Banga, Malda "
"University of Horticultural Sciences, Bagalkot "
"University of Hyderabad, Hyderabad "
"University of Jammu, Jammu Tawi "
"University of Kashmir, Srinagar "
"UP Pandit Deen Dayal Upadhyaya Veterinary University & Gau-Anusandhan Sansthan, Mathura "
"Utkal University, Bhubaneswar "
"Utkal University of Culture, Bhubaneswar "
"UTTARAKHAND UNIVERSITY OF HORTICULTURE AND FORESTRY, BHARSAR "
"Uttaranchal Sanskrit University, Hardwar "
"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar "
"Uttrakhand Technical University, Dehradun "
"Veer Bahadur Singh Purvanchal University, Jaunpur "
"Veer Kunwar Singh University, Arrah "
"Veer Narmad South Gujarat University, Surat "
"Vellore Institute of Technology, Vellore "
"Vesveswaraiah Technological University, Belgaum "
"Vidya Sagar University, Midnapore "
"Vijayanagara Sri Krishnadevaraya University, Bellary "
"Vikram Simhapuri University, Nellore "
"Vikram University, Ujjain "
"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM "
"Vinayaka Missions Sikkim University, Tadong "
"Vinoba Bhave University, Hazaribagh "
"West Bengal State University, Kolkata "
"West Bengal University of Technology, Kolkata "
"Yenepoya University, Mangalore "
"Yogi Vemana University, Kadapa "
