S. No.,university,college,College Type,State Name,District Name
6109,"Choudhary Charan Singh University, Meerut ","SHIVALIK INSTITUTE OF EDUCATION A-87, VIVEK NAGAR, DELHI ROAD, SAHARANPUR Ph. 0132-2762208 ",Affiliated College,Uttar Pradesh,Saharanpur
6110,"Choudhary Charan Singh University, Meerut ","SHIVAM INSTITUTE OF HIGHER EDUCATION KHURJA, BULANDSHAR ",Affiliated College,Uttar Pradesh,Bulandshahr
6111,"Choudhary Charan Singh University, Meerut ","SHIV MANDIR CHHUTTAN LAL KAKA GIRLS DEGREE COLLEGE, SIKANDRABAD, BULANDSHAHR Ph. 05735 - 21133, 34134 ",Affiliated College,Uttar Pradesh,Bulandshahr
6112,"Choudhary Charan Singh University, Meerut ","SHREE BANKEY BIHARI INSTITUTE OF MANAGEMENT, HAPUR BYPASS, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6113,"Choudhary Charan Singh University, Meerut ","SHREE SAI COLLEGE OF EDUCATION & TECH. VILLAGE & POST. JAGENTHI, SARDHANA ROAD, MEERUT, PH. 9812782086 ",Affiliated College,Uttar Pradesh,Meerut
6114,"Choudhary Charan Singh University, Meerut ","SHRI ASHARAM DIGEMBER JAIN GIRLS COLLEGE CHHAPRAULI, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
6115,"Choudhary Charan Singh University, Meerut ","SHRI BAKABIHARI DENTAL COLLEGE & RESEARCH CENTRE, MASURI, GHAZIABAD ",Affiliated College,Uttar Pradesh,Ghaziabad
6116,"Choudhary Charan Singh University, Meerut ","SHRI BALAJI DEGREE COLLEGE , KURALI MEERUT BAGHPAT ROAD , MEERUT Ph. ",Affiliated College,Uttar Pradesh,Meerut
6117,"Choudhary Charan Singh University, Meerut ","SHRI KRISHAN MAHAVIDYALA , BALANI, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
6118,"Choudhary Charan Singh University, Meerut ","SHRI KRISHNA COLLEGE OF EDUCATION SIGHAWALI AHIR, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
6119,"Choudhary Charan Singh University, Meerut ","SHRI KRISHNA COLLEGE OF LAW VILL. TELIPURA POST SARSAWA, DISTT. SAHARANPUR ",Affiliated College,Uttar Pradesh,Saharanpur
6120,"Choudhary Charan Singh University, Meerut ","SHRI MADHAV COLLEGE OF EDU. & TECHNOLOGY KESHAV NAGAR, MODINAGAR ROAD, HAPUR (GHAZIABAD), Ph. 0122-2316463, 2311824 ",Affiliated College,Uttar Pradesh,Ghaziabad
6121,"Choudhary Charan Singh University, Meerut ","SHRI MAHAVEER GIRLS DEGREE COLLEGE, POHALI, SARADHANA ROAD, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6122,"Choudhary Charan Singh University, Meerut ","SHRI PARSAVANATH INST. OF EDU. AND RESEARCH DELHI-MEERUT ROAD, MOHIDINPUR , MEERUT Ph. 01232-223617, 223618 ",Affiliated College,Uttar Pradesh,Meerut
6123,"Choudhary Charan Singh University, Meerut ",SHRI RAM COLLEGE OF LAW MUZAFFARNAGAR ,Affiliated College,Uttar Pradesh,Muzaffarnagar
6124,"Choudhary Charan Singh University, Meerut ","SHRI RAM COLLEGE OPP. ALMASPUR TELEPHONE EXCHANGE, PARIKRAMA MARG, MUZAFFARNAGAR Ph. No. :- 0131-3091565, 0131-2402133, 2620565 ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6125,"Choudhary Charan Singh University, Meerut ","SHRI RAM GIRLS COLLEGE, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6126,"Choudhary Charan Singh University, Meerut ","SHRI RAM INSTIUTE OF MGMT & TECHNOLOGY DUBAI, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
6127,"Choudhary Charan Singh University, Meerut ","SHRI RAM SINGH PREMLATA KANYA DEGREE COLLEGE, RATANPUR, KASARKALA, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
6128,"Choudhary Charan Singh University, Meerut ","SHRI SAI INSTITUTE OF EDUCATION & TECHNOLOGY DADRA, BLOCK-JANI, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6129,"Choudhary Charan Singh University, Meerut ","SHRI SAI MAHAVIDYALAYA FATEHPUR PUTTI, BAGHPAT PH. 01234-311445, Mob.-9897151851 ",Affiliated College,Uttar Pradesh,Baghpat
6130,"Choudhary Charan Singh University, Meerut ","SH. SWAMI DAYAL BHATNAGAR LAW COLLEGE SIKANDRABAD, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
6131,"Choudhary Charan Singh University, Meerut ","SH. VINAYAK COLLEGE OF EDUCATION, MAWIKALA, BAGHPAT ",Affiliated College,Uttar Pradesh,Baghpat
6132,"Choudhary Charan Singh University, Meerut ","SHYAM LAL SARASWATI MAHAVIDYALAYA SHIKARPUR, BULANDSHAR Ph. No. :- 05732-240003-230757, 9412227527 ",Affiliated College,Uttar Pradesh,Bulandshahr
6133,"Choudhary Charan Singh University, Meerut ","SILVER BELLS INSTITUTE FOR HIGHER EDUCATION PANIPAT ROAD, SHAMALI (MZN.) ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6134,"Choudhary Charan Singh University, Meerut ","SIYARAM KASTURI DEVI COLLEGE OF EDUCATION F-19, SHASTRI NAGAR, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6135,"Choudhary Charan Singh University, Meerut ","SMT DILAWARI DEVI KISAN KANYA DEGREE COLLEGE, CHINGRAWATHI, BULANDSHSHAR, ",Affiliated College,Uttar Pradesh,Bulandshahr
6136,"Choudhary Charan Singh University, Meerut ","SMT. MUKHTARI DEVI TIKATA KANYA MAHAVIDYALAYA, SISOLI, MUZAFFARNGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6137,"Choudhary Charan Singh University, Meerut ","SMT. SARADA DEVI JEWALA PRASAD AGARWAL KANYA DEGREE COLLEGE, NARSENA, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
6138,"Choudhary Charan Singh University, Meerut ","SMT. SUKHBIRI DEVI GAYATRI DEVI VIDHI MAHAVIDYALA, NIMKA, JAWAR (G.B. NAGAR) Mob. No. 9997326692, 9412610707, 05732223177 www.ssdgdm.com ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
6139,"Choudhary Charan Singh University, Meerut ","S.R. COLLEGE OF EDUCATION INCHOLI, MAWANA ROAD, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6140,"Choudhary Charan Singh University, Meerut ",SRI GOPI CHAND MAHAVIDYALAYA AHERA (BAGHPAT) ,Affiliated College,Uttar Pradesh,Baghpat
6141,"Choudhary Charan Singh University, Meerut ","S.R.S. INSTITUTE OF EDUCATION & TECHNOLOGY GEJHA, MOHIUDDINPUR, MEERUT Ph.9837514655, 9219446577, 0121-2881691 ",Affiliated College,Uttar Pradesh,Meerut
6142,"Choudhary Charan Singh University, Meerut ","S.S.D. KANYA DEGREE COLLEGE DABAI, BULANDSHAHR ",Affiliated College,Uttar Pradesh,Bulandshahr
6143,"Choudhary Charan Singh University, Meerut ",S.S.S.S. College Rasana (Meerut) Mob. No.9412109158 ,Affiliated College,Uttar Pradesh,Meerut
6144,"Choudhary Charan Singh University, Meerut ","S.S.V. (P.G.) College, Hapur (Pancheel Nagar) Mob. No.9927332307, 0122-2316818 ",Affiliated College,Uttar Pradesh,Ghaziabad
6145,"Choudhary Charan Singh University, Meerut ","ST. R.C. COLLEGE OF HIGHER EDUCATION SHAMLI ROAD, BANAT, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6146,"Choudhary Charan Singh University, Meerut ","SUNDERDEEP COLLEGE OF MGMT. & TECHNOLOGY NH-24, DELHI-HAPUR ROAD, DASANA, GHAZIABAD ",Affiliated College,Uttar Pradesh,Ghaziabad
6147,"Choudhary Charan Singh University, Meerut ","SUNRISE INSTITUE OF EDUCATION & TECH K. K. ROAD, NEAR DADRI (G.B. NAGAR) ",Affiliated College,Uttar Pradesh,Gautam Buddha Nagar
6148,"Choudhary Charan Singh University, Meerut ","SURYANSH COLLEGE OF HIGHER EDU. FOR GIRLS PAWALI ROAD, PARATPUR BY-PASS, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6149,"Choudhary Charan Singh University, Meerut ","SUSHIL INSTITUTE OF MANAGEMENT & TECHNOLOGY, MAWANA, MEERUT ",Affiliated College,Uttar Pradesh,Meerut
6150,"Choudhary Charan Singh University, Meerut ","S.V.S. SCHOOL OF MANAGEMENT, MAWANA, MEERUT Ph. No. 9837666669, 1233-273333 ",Affiliated College,Uttar Pradesh,Meerut
6151,"Choudhary Charan Singh University, Meerut ","SWAMI KALYAN DEV COLLEGE BHOPA, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6152,"Choudhary Charan Singh University, Meerut ",SWAMI KALYAN DEV COLLEGE HASTINAPUR (MEERUT) ,Affiliated College,Uttar Pradesh,Meerut
6153,"Choudhary Charan Singh University, Meerut ","SWAMI KALYAN DEV DEGREE COLLEGE, BAGHRA, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6154,"Choudhary Charan Singh University, Meerut ","SWAMI KALYAN DEV DEGREE COLLEGE, MEERAPUR KATOHRA, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
6155,"Choudhary Charan Singh University, Meerut ","SWAMI KALYAN DEVI VEDIK COLLEGR FOR MANAGEMENT & EDUCATION, SIKANDER PUR, JINJANA, MUZAFFARNAGAR ",Affiliated College,Uttar Pradesh,Muzaffarnagar
